datum,bundesland_id,bundesland_name,behandlungsgruppe,behandlungsgruppe_level_2,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_erstaufnahmen,intensivbetten_belegt,intensivbetten_frei,intensivbetten_7_tage_notfallreserve,kapazitaeten_frei_invasive_beatmung_gesamt,kapazitaeten_frei_invasive_beatmung_covid,kapazitaeten_frei_invasive_beatmung_isolationspflichtige_kinder,betriebssituation_regulaerer_betrieb,betriebssituation_teilweise_eingeschraenkt,betriebssituation_eingeschraenkt,betriebssituation_keine_angabe,einschraenkung_beatmungsgeraet,einschraenkung_material,einschraenkung_personal,einschraenkung_raum
2020-04-20,00,Deutschland,Kinder,NICU,13,2,NA,123,72,NA,40,NA,NA,11,0,0,2,NA,NA,NA,NA
2020-04-20,00,Deutschland,Kinder,PICU,26,3,NA,132,144,NA,93,NA,NA,18,3,0,5,0,0,2,2
2020-04-21,00,Deutschland,Erwachsene,ERWACHSENE,1282,2855,NA,18160,11867,NA,8479,NA,NA,917,113,95,157,39,32,131,62
2020-04-21,00,Deutschland,Kinder,NICU,14,2,NA,125,72,NA,38,NA,NA,13,0,0,1,NA,NA,NA,NA
2020-04-21,00,Deutschland,Kinder,PICU,26,3,NA,150,136,NA,88,NA,NA,18,3,1,4,1,1,3,3
2020-04-22,00,Deutschland,Erwachsene,ERWACHSENE,1289,2739,NA,18537,11897,NA,8522,NA,NA,926,112,94,157,35,35,134,55
2020-04-22,00,Deutschland,Kinder,NICU,16,2,NA,135,77,NA,41,NA,NA,15,0,0,1,NA,NA,NA,NA
2020-04-22,00,Deutschland,Kinder,PICU,27,3,NA,159,124,NA,87,NA,NA,17,5,1,4,1,1,4,4
2020-04-23,00,Deutschland,Erwachsene,ERWACHSENE,1304,2720,NA,18698,11939,NA,8531,NA,NA,937,104,110,153,36,33,139,64
2020-04-23,00,Deutschland,Kinder,NICU,19,5,NA,168,100,NA,49,NA,NA,17,0,0,2,NA,NA,NA,NA
2020-04-23,00,Deutschland,Kinder,PICU,29,3,NA,163,134,NA,98,NA,NA,18,4,2,5,1,1,4,4
2020-04-24,00,Deutschland,Erwachsene,ERWACHSENE,1308,2644,NA,18876,11986,NA,8628,NA,NA,925,113,108,162,37,32,145,69
2020-04-24,00,Deutschland,Kinder,NICU,19,4,NA,168,109,NA,58,NA,NA,17,0,0,2,NA,NA,NA,NA
2020-04-24,00,Deutschland,Kinder,PICU,30,2,NA,190,152,NA,109,NA,NA,19,4,3,4,1,1,5,4
2020-04-25,00,Deutschland,Erwachsene,ERWACHSENE,1308,2538,NA,18737,12012,NA,8574,NA,NA,933,111,106,158,34,31,146,66
2020-04-25,00,Deutschland,Kinder,NICU,20,3,NA,169,110,NA,58,NA,NA,19,0,0,1,NA,NA,NA,NA
2020-04-25,00,Deutschland,Kinder,PICU,31,2,NA,193,163,NA,114,NA,NA,20,3,3,5,1,1,4,4
2020-04-26,00,Deutschland,Erwachsene,ERWACHSENE,1308,2524,NA,18253,12415,NA,8902,NA,NA,934,111,105,158,36,33,135,69
2020-04-26,00,Deutschland,Kinder,NICU,20,3,NA,168,115,NA,56,NA,NA,19,0,0,1,NA,NA,NA,NA
2020-04-26,00,Deutschland,Kinder,PICU,31,2,NA,195,159,NA,114,NA,NA,22,4,2,3,1,1,4,4
2020-04-27,00,Deutschland,Erwachsene,ERWACHSENE,1309,2466,NA,18434,12255,NA,8810,NA,NA,942,106,104,157,34,31,137,69
2020-04-27,00,Deutschland,Kinder,NICU,21,3,NA,171,118,NA,61,NA,NA,18,0,0,3,NA,NA,NA,NA
2020-04-27,00,Deutschland,Kinder,PICU,31,2,NA,196,160,NA,117,NA,NA,21,4,2,4,1,1,4,4
2020-04-28,00,Deutschland,Erwachsene,ERWACHSENE,1313,2391,NA,18947,11926,NA,8684,NA,NA,948,111,103,151,33,32,138,68
2020-04-28,00,Deutschland,Kinder,NICU,23,1,NA,192,121,NA,67,NA,NA,20,1,0,2,0,0,1,0
2020-04-28,00,Deutschland,Kinder,PICU,33,2,NA,205,155,NA,117,NA,NA,22,2,4,5,1,1,4,4
2020-04-29,00,Deutschland,Erwachsene,ERWACHSENE,1318,2310,NA,19177,11882,NA,8682,NA,NA,949,114,96,159,33,31,137,65
2020-04-29,00,Deutschland,Kinder,NICU,24,2,NA,209,117,NA,66,NA,NA,21,1,0,2,0,0,1,0
2020-04-29,00,Deutschland,Kinder,PICU,34,1,NA,225,141,NA,115,NA,NA,23,2,4,5,1,1,4,4
2020-04-30,00,Deutschland,Erwachsene,ERWACHSENE,1318,2235,NA,19128,11920,NA,8663,NA,NA,948,108,102,160,35,29,138,65
2020-04-30,00,Deutschland,Kinder,NICU,25,5,NA,221,122,NA,70,NA,NA,21,1,0,3,0,0,1,0
2020-04-30,00,Deutschland,Kinder,PICU,34,1,NA,219,148,NA,118,NA,NA,24,3,4,3,1,1,5,4
2020-05-01,00,Deutschland,Erwachsene,ERWACHSENE,1325,2118,NA,19192,11994,NA,8713,NA,NA,955,113,92,165,33,26,140,59
2020-05-01,00,Deutschland,Kinder,NICU,29,4,NA,231,147,NA,88,NA,NA,24,2,0,3,0,0,2,0
2020-05-01,00,Deutschland,Kinder,PICU,35,2,NA,218,149,NA,110,NA,NA,25,1,5,4,1,1,5,4
2020-05-02,00,Deutschland,Erwachsene,ERWACHSENE,1325,2046,NA,18553,12590,NA,9031,NA,NA,963,103,97,162,32,25,139,59
2020-05-02,00,Deutschland,Kinder,NICU,29,4,NA,239,140,NA,81,NA,NA,25,1,1,2,0,0,2,0
2020-05-02,00,Deutschland,Kinder,PICU,35,2,NA,214,176,NA,127,NA,NA,23,4,4,4,2,1,6,4
2020-05-03,00,Deutschland,Erwachsene,ERWACHSENE,1325,2011,NA,18679,12454,NA,8982,NA,NA,954,109,98,164,33,24,138,61
2020-05-03,00,Deutschland,Kinder,NICU,29,5,NA,238,140,NA,85,NA,NA,23,1,1,4,0,0,2,0
2020-05-03,00,Deutschland,Kinder,PICU,35,2,NA,211,176,NA,122,NA,NA,24,4,4,3,2,1,6,4
2020-05-04,00,Deutschland,Erwachsene,ERWACHSENE,1325,1976,NA,18591,12393,NA,8915,NA,NA,983,100,93,149,32,24,133,52
2020-05-04,00,Deutschland,Kinder,NICU,31,2,NA,241,147,NA,93,NA,NA,25,1,2,3,0,0,2,1
2020-05-04,00,Deutschland,Kinder,PICU,35,2,NA,218,174,NA,124,NA,NA,24,4,4,3,1,1,6,5
2020-05-05,00,Deutschland,Erwachsene,ERWACHSENE,1328,1903,NA,19168,11808,NA,8594,NA,NA,984,101,94,149,31,24,132,59
